cancer_id	group	cancer_label	detected_n	cancer_detected_n	noncancer_detected_n	precision	odds_ratio	p_value	p_adjust_BH	p_adjust_BY	precision_percent	tool	norm_method	comparison_method
TCGA-COAD	log_ortholog_mean_TOX	NCG	3081	601	2480	0.19506653683868874	1.116413514180748	0.01710337589795491	0.03420675179590982	0.15523174306043763	19.51	TOX	log	ortholog_mean
TCGA-COAD	log_ortholog_mean_TOX	MERGED	3081	649	2432	0.210645894190198	1.0464934747456558	0.18554313043282147	0.2680067439585199	1	21.06	TOX	log	ortholog_mean
TCGA-COAD	log_ortholog_mean_TOX	OncoKB	3081	174	2907	0.05647517039922103	0.7460520905074148	0.9998243659799734	0.9999999997736897	1	5.65	TOX	log	ortholog_mean
TCGA-COAD	log_ortholog_mean_TOX	CGC	3081	72	3009	0.023369036027263874	0.6156027564757789	0.9999740893376471	0.9999999997736897	1	2.34	TOX	log	ortholog_mean
TCGA-COAD	std_log_family_mean_TOX	OncoKB	5336	474	4862	0.08883058470764618	1.4925351577388069	2.3862554692823244e-10	1.2408528440268088e-9	5.631044742541584e-9	8.88	TOX	std_log	family_mean
TCGA-COAD	std_log_family_mean_TOX	MERGED	5336	1233	4103	0.23107196401799102	1.2737383467905676	2.6409217418903678e-9	1.0563686967561471e-8	4.7938475740203813e-08	23.11	TOX	std_log	family_mean
TCGA-COAD	std_log_family_mean_TOX	NCG	5336	1097	4239	0.20558470764617692	1.270850925667905	1.5996829926836126e-8	5.198969726221741e-8	2.3593153115939743e-7	20.56	TOX	std_log	family_mean
TCGA-COAD	std_log_family_mean_TOX	CGC	5336	240	5096	0.044977511244377814	1.5636134039421221	3.488176910976296e-7	9.06925996853837e-7	4.1156700337528084e-6	4.5	TOX	std_log	family_mean
TCGA-COAD	std_log_ortholog_mean_TOX	OncoKB	5372	481	4891	0.08953834698436336	1.5179942850206332	3.9374434849670906e-11	3.4124510203048115e-10	1.5485852709745587e-9	8.95	TOX	std_log	ortholog_mean
TCGA-COAD	std_log_ortholog_mean_TOX	MERGED	5372	1236	4136	0.23008190618019358	1.2635431827940284	8.059983348475631e-9	2.7941275608048855e-8	1.2679873674787627e-7	23.01	TOX	std_log	ortholog_mean
TCGA-COAD	std_log_ortholog_mean_TOX	NCG	5372	1095	4277	0.20383469843633656	1.250200712114838	1.2779076056903976e-7	3.497431341889509e-7	1.5871497144041348e-6	20.38	TOX	std_log	ortholog_mean
TCGA-COAD	std_log_ortholog_mean_TOX	CGC	5372	240	5132	0.044676098287416234	1.5470185064681243	6.34615733488505e-7	1.5714294353048697e-6	7.131215842833171e-6	4.47	TOX	std_log	ortholog_mean
